transcript_id,A07_w501fBr_a,A08_w501fBr_b,A09_w501fBr_c,B07_FA03fBr_a,B08_FA03fBr_b,B09_FA03fBr_c,D07_w501mBr_a,D08_w501mBr_b,D09_w501mBr_c,E08_FA03mBr_b,E09_FA03mBr_c
FBtr0361480,305,104,223,92,0,0,190,287,175,0,0
FBtr0212272,132,90,120,35,65,0,155,0,146,0,0
FBtr0212270,866,341,697,511,879,487,605,404,572,431,326
FBtr0212277,3176,3420,3150,3231,3764,3051,4665,3306,4495,3086,3297
FBtr0212276,553,733,542,591,463,539,1079,685,917,607,629
FBtr0212275,48,62,15,8,12,11,106,21,0,0,0
FBtr0212274,0,0,0,0,0,0,0,0,0,0,0
FBtr0212279,1807,1888,1484,1770,1876,1441,2550,1489,2288,1749,1732
FBtr0212278,3828,3723,3059,3619,3374,3002,4967,3768,4929,3966,4060
FBtr0361162,25738,29253,26079,23744,25601,27353,33368,29682,34855,25474,23945
FBtr0361163,2313,2248,2022,1392,1561,1239,2508,2027,2862,1420,1338
FBtr0361160,116,50,44,165,46,146,83,47,83,59,80
FBtr0361161,2946,3432,1968,1178,2679,3516,2799,2424,2445,4052,2360
FBtr0361166,70,32,24,28,33,21,72,18,30,24,56
FBtr0361167,170,402,202,296,150,194,180,177,186,179,186
FBtr0361164,736,855,469,359,455,784,942,1242,583,574,530
FBtr0361165,389,343,186,353,425,207,517,524,579,242,379
FBtr0361168,8,3,0,0,0,0,7,0,0,0,0
FBtr0361169,18972,20201,17618,15064,17128,16940,20744,19114,22600,16649,14939
FBtr0211895,3,4,4,4,4,4,4,4,4,4,4
FBtr0211893,52,52,71,63,61,47,65,45,61,0,49
FBtr0211891,6241,6716,6400,5991,6244,5639,8422,6202,8563,5772,5556
FBtr0211898,8482,8940,7870,8916,9256,7695,12004,8550,11547,8303,8774
FBtr0355316,1432,1353,349,1026,706,541,3285,1827,1913,1156,920
FBtr0355317,10361,12376,10126,12230,11631,14675,10066,8033,10179,10139,9760
FBtr0355314,46,31,53,2,143,1,55,110,41,213,30
FBtr0355315,456,584,410,523,278,483,534,413,549,407,456
FBtr0355312,0,117,142,111,0,169,161,127,0,145,130
FBtr0355313,2026,2374,2131,4942,1886,1275,664,289,454,905,255
FBtr0355310,2535,3149,2611,2983,3095,3502,3480,2747,3653,2966,2915
FBtr0355311,13857,16175,14191,13939,13504,20355,19249,16265,19130,15547,14510
FBtr0355318,2,0,0,0,0,0,0,0,0,0,0
FBtr0355319,0,54,0,0,33,0,0,0,0,0,0
FBtr0222951,43,0,8,10,0,0,5,8,0,0,4
FBtr0222950,15,15,4,7,6,15,3,19,6,0,4
FBtr0222953,33,27,54,27,13,28,40,67,78,6,20
FBtr0222952,10364,7902,4843,3564,2795,732,5824,7242,7997,4801,1489
FBtr0222955,105,122,154,8,12,15,115,132,119,20,5
FBtr0222954,160,358,516,160,149,148,408,320,500,165,148
FBtr0222957,739,806,792,730,754,681,1224,932,1163,753,666
FBtr0222956,149,144,139,8,0,8,128,108,159,0,5
FBtr0222959,571,610,512,411,508,398,828,665,953,553,443
FBtr0223392,92,135,87,51,28,35,128,118,189,20,59
FBtr0223393,27,36,27,0,0,0,26,22,22,9,0
FBtr0223394,92,180,169,73,69,35,170,96,125,45,48
FBtr0223395,1287,1859,1490,2391,2524,2084,2505,1876,2453,1773,1951
FBtr0223396,4,0,0,2,0,7,0,0,0,0,0
FBtr0223397,12,0,0,0,0,0,0,0,0,0,0
FBtr0223398,3691,4011,3536,3645,3987,3939,5046,3984,5465,3329,3406
FBtr0223399,2569,2478,2128,2115,2007,1989,2567,2589,3107,2652,1978
FBtr0219845,16,14,8,6,12,11,4,12,12,16,13
FBtr0219847,0,0,0,4,0,0,0,4,11,0,0
FBtr0219841,0,0,0,0,0,0,0,0,0,0,0
FBtr0219840,5,0,8,0,0,0,4,0,0,0,0
FBtr0219843,55,0,0,0,0,0,0,5,0,0,0
FBtr0219849,44,99,59,51,73,40,62,28,58,63,85
FBtr0219848,8,9,4,11,0,0,0,0,15,8,11
FBtr0213636,1363,1954,1437,916,875,6876,2331,1338,1446,3960,813
FBtr0213637,2093,1886,1845,2203,2243,1870,3156,2323,2828,2107,2149
FBtr0213631,153,41,0,97,96,80,7,44,6,102,140
FBtr0213632,3084,2966,2718,3014,3202,2666,4671,3248,4522,3069,3009
FBtr0213633,10328,10603,9480,9063,9489,7366,14262,10847,12729,8074,8148
FBtr0214949,0,0,0,0,0,0,0,0,0,0,0
FBtr0214948,0,0,0,0,0,0,0,0,0,0,0
FBtr0214946,2,12,0,0,0,0,0,0,0,0,4
FBtr0214944,16,12,0,7,7,12,4,4,2,4,12
FBtr0214943,4,0,0,7,0,5,6,3,0,4,0
FBtr0214942,1439,1488,1124,2153,1956,1613,1625,1196,1473,1810,1914
FBtr0214941,3770,4315,3527,3995,1767,2002,2110,1895,4144,130,3715
FBtr0214940,1,0,0,8,0,4,0,0,6,4,0
FBtr0351349,26,12,10,6,10,14,27,8,28,8,10
FBtr0351348,619,0,0,0,548,483,0,278,1,0,0
FBtr0354199,2152,2439,1806,2043,2170,2046,2380,2173,2227,2005,1515
FBtr0354198,2033,2495,1184,2101,1706,709,3752,1560,2649,2040,1256
FBtr0354197,909,1300,1137,1224,591,780,1670,555,920,1164,942
FBtr0354196,193,93,103,99,84,106,158,186,103,96,97
FBtr0354195,178,2832,3715,2698,2996,5459,135,246,212,189,2774
FBtr0354194,54,74,71,80,64,52,95,78,0,87,100
FBtr0351345,579,124,345,143,138,141,529,157,302,160,146
FBtr0351344,16,249,266,821,383,679,507,301,375,629,854
FBtr0354191,55,54,12,61,36,116,92,51,61,80,54
FBtr0354190,128,179,231,85,191,190,140,259,153,83,150
FBtr0352928,35446,38499,26401,22286,30171,35414,40751,32134,31807,33219,27563
FBtr0352929,170,218,162,330,352,398,213,186,220,480,550
FBtr0352924,0,0,0,0,0,0,0,1,0,0,0
FBtr0352925,262,362,171,413,0,389,270,514,432,590,457
FBtr0352926,1339,871,871,746,928,991,1019,788,993,515,635
FBtr0352927,0,0,48,0,58,51,56,0,53,1,52
FBtr0352920,4341,5336,4801,4113,4198,3996,6346,4164,6635,4183,4960
FBtr0352921,28,13,15,24,60,22,53,11,56,55,22
FBtr0352922,473,566,446,513,564,416,866,473,758,469,461
FBtr0352923,32111,27368,31748,28615,28802,28281,38602,31784,39743,21981,23906
FBtr0222047,898,646,477,1356,1159,940,870,677,880,1004,615
FBtr0222046,12,6,230,156,157,0,129,40,114,4,209
FBtr0222045,2725,3349,2881,2393,2485,2412,3865,3089,4011,2597,2251
FBtr0222043,0,0,0,0,0,0,0,0,0,0,0
FBtr0222040,885,837,742,846,770,716,1131,820,1181,711,844
FBtr0214362,0,0,359,0,0,316,245,496,205,0,359
FBtr0214361,157,1394,130,183,127,86,182,163,791,786,164
FBtr0214360,12,16,9,8,23,16,16,12,8,0,10
FBtr0214367,2902,3176,2671,3045,3170,3031,3769,2844,3731,2530,2594
FBtr0221630,4,0,0,0,0,8,14,8,4,0,4
FBtr0218466,268,258,184,257,298,198,346,255,314,326,289
FBtr0218467,1168,1140,1028,1346,1395,934,1854,1206,1451,1164,1137
FBtr0221635,51,61,92,86,51,88,91,113,117,115,59
FBtr0221634,674,578,507,289,174,113,809,462,554,146,239
FBtr0221637,0,10,3,0,0,0,0,0,5,13,4
FBtr0221636,4,14,0,31,24,30,0,16,13,10,0
FBtr0221638,3,2,8,4,5,8,0,8,0,4,6
FBtr0218468,4432,5322,4688,4988,5334,4903,6578,5361,7331,5330,5103
FBtr0219599,9051,9267,8663,8599,8761,8709,10877,8964,11970,8784,8550
FBtr0219596,2713,4904,3660,6556,6169,5362,3719,3251,4461,5400,5995
FBtr0219595,455,353,316,442,521,439,436,289,430,452,416
FBtr0219594,46,29,44,57,13,28,36,35,64,32,27
FBtr0219592,3976,3567,3414,2913,3698,3294,4634,3587,4635,2835,2789
FBtr0219591,2816,2964,2585,2690,2977,2396,3878,2935,3992,2599,2813
FBtr0219590,445,558,606,506,498,539,585,540,652,437,554
FBtr0350438,11805,12722,11740,10360,10889,10330,15422,12677,15562,9906,9569
FBtr0350439,85,67,108,77,467,49,298,611,684,307,518
FBtr0357428,7,0,0,0,0,0,0,0,0,0,0
FBtr0357429,0,0,0,74,84,0,80,130,127,113,294
FBtr0357426,0,0,0,0,0,0,0,0,0,0,0
FBtr0357427,7596,7444,6667,7154,10474,11175,2088,8536,9286,1426,9749
FBtr0350432,18,8,2,19,4,3,7,7,1,3,18
FBtr0350433,15,10,24,53,21,52,38,42,22,50,42
FBtr0357422,10198,11838,11026,9779,10773,9988,13192,11221,15095,10771,10481
FBtr0350435,2187,3997,1179,1851,4220,3165,1573,974,1321,688,1128
FBtr0357420,468,1,503,787,1024,524,6,602,934,723,654
FBtr0357421,1721,1777,1486,499,1059,1254,1801,1511,2012,951,369
FBtr0221099,35,34,39,162,121,84,39,14,21,86,65
FBtr0221098,1283,1145,1035,1065,1125,1025,1421,1180,1675,1224,1125
FBtr0211468,3545,3445,3221,3449,3834,3207,4664,3654,4613,3554,3504
FBtr0211467,12032,11104,10887,13284,14790,10135,20697,14570,19522,13190,14175
FBtr0221094,0,0,0,0,0,0,0,0,0,0,0
FBtr0211465,4115,4732,3661,3815,4139,3832,5294,4270,5633,3701,3685
FBtr0211464,11213,12834,10784,11033,11880,12868,11695,10311,15157,11500,11556
FBtr0211463,3452,3350,2961,3790,3904,2979,5327,3343,4462,3329,3731
FBtr0211462,0,0,0,0,0,0,0,0,0,0,0
FBtr0211461,393,338,307,372,417,331,556,398,488,383,366
FBtr0211460,8,8,8,12,12,4,0,0,0,21,0
FBtr0359019,1047,1180,941,987,1234,1353,1040,854,1208,1226,1124
FBtr0359018,287,352,242,83,90,86,336,314,250,107,94
FBtr0219339,3,6,2,0,0,1,5,1,3,2,6
FBtr0219338,215,277,206,156,248,189,234,191,220,202,174
FBtr0359011,4,37,0,0,0,0,26,1,0,0,0
FBtr0359010,8,3,1,452,803,1425,775,564,1369,1173,324
FBtr0359013,2,34,2,88,637,30,10,0,26,0,24
FBtr0359012,0,0,0,0,0,0,0,0,1,0,0
FBtr0359015,0,0,0,0,0,0,0,0,0,0,0
FBtr0359014,0,0,0,4,0,0,0,0,0,0,0
FBtr0359017,259,325,289,174,501,561,208,395,185,212,446
FBtr0359016,1422,2016,1476,1567,1307,1371,1961,1129,1911,1086,1418
FBtr0220940,1911,1811,1602,1619,1464,1411,2651,1486,2249,1710,1763
FBtr0220941,34,12,0,12,12,21,38,12,12,29,4
FBtr0220945,4836,4963,4072,4461,5019,3884,6554,4784,5891,4388,4523
FBtr0220946,1304,1028,878,1162,1009,839,1520,1133,1485,954,985
FBtr0220947,951,369,400,241,281,224,980,276,645,193,381
FBtr0220948,693,622,476,489,345,411,808,565,897,535,1124
FBtr0365430,11,6,0,0,4,0,9,0,12,4,0
FBtr0362427,13,21,8,5,11,6,10,9,8,11,6
FBtr0365432,166,120,84,110,117,86,153,111,119,36,104
FBtr0362425,18,13,12,21,16,19,272,234,13,8,10
FBtr0356779,24673,23319,23052,25580,29323,2550,2250,26921,32942,30067,29271
FBtr0356778,251,187,82,0,0,0,230,210,234,0,0
FBtr0356775,89,82,4,40,45,0,3,0,2,40,0
FBtr0356774,128,116,128,128,126,154,126,156,141,128,140
FBtr0356777,85,87,86,105,106,114,80,91,88,106,89
FBtr0356776,1178,1099,1029,1256,1045,1086,1445,1174,1390,1234,1337
FBtr0356771,17,0,0,0,0,0,0,4,4,137,0
FBtr0356770,0,0,226,0,636,206,0,370,100,160,390
FBtr0356773,0,1,1,2,0,50,1,2,51,0,0
FBtr0365435,234,233,217,174,162,94,222,260,385,143,139
FBtr0362420,15,0,0,8,0,0,0,0,0,0,0
FBtr0365437,0,0,0,3,0,0,0,0,0,2,0
FBtr0348901,498,282,171,221,438,184,158,241,260,206,230
FBtr0348900,10478,10979,9100,0,10768,0,12851,10964,13357,0,9924
FBtr0348903,0,16,0,7,2,2,0,0,16,12,5
FBtr0211288,813,382,480,802,725,693,1412,676,763,952,936
FBtr0348905,1866,142,112,878,2164,1212,986,2176,1117,340,816
FBtr0348904,815,791,665,562,553,606,696,586,704,403,334
FBtr0348907,6016,6099,5775,5279,5887,5091,6493,5470,6082,4275,4248
FBtr0348906,18880,21178,19782,19086,20859,21513,26467,21683,27554,21854,22131
FBtr0348909,3965,4331,3355,4303,4296,36592,5561,4127,17541,22045,3579
FBtr0211282,17,0,4,5,2,12,0,0,0,8,2
FBtr0211281,12,39,15,4148,4429,3461,27,15,52,3580,3972
FBtr0211280,1195,1161,986,1623,1776,1465,1465,853,1426,1434,1454
FBtr0211287,104,102,61,137,113,107,138,52,106,49,107
FBtr0211286,414,196,236,1454,1652,1123,717,219,356,1399,1317
FBtr0211285,905,1073,802,2722,2927,2099,1180,733,1072,2244,2411
FBtr0211284,4,4,0,53,23,14,5,0,5,15,36
FBtr0215904,15868,15790,14543,15359,16405,15294,21291,16971,20831,15731,15242
FBtr0215905,2320,2258,1814,2434,2727,2102,2414,2279,2708,1909,1964
FBtr0215908,52,4,12,14,22,8,8,15,4,0,8
FBtr0215909,103,80,88,44,12,31,196,79,190,42,44
FBtr0354434,4594,4475,4236,4200,5025,4514,5903,5444,5558,4403,4261
FBtr0358769,6630,6795,5683,2109,2273,2120,6787,6293,7891,2830,2338
FBtr0354436,1,0,0,2,0,1,3,0,2,2,4
FBtr0354437,4061,4072,3696,3961,4487,3613,5232,4528,5575,4324,3967
FBtr0354430,1228,403,1117,204,147,102,2111,1030,1309,107,126
FBtr0354431,0,23,0,25,0,8152,0,5086,0,4969,5047
FBtr0354432,0,891,906,1081,1050,409,1151,591,1323,634,784
FBtr0354433,0,0,0,0,26,0,0,0,0,0,0
FBtr0358760,0,0,0,0,0,0,0,0,0,0,0
FBtr0358761,0,0,0,0,0,0,0,0,0,0,0
FBtr0358762,494,477,258,362,512,582,287,262,555,448,309
FBtr0358763,0,0,0,0,0,0,0,0,0,0,0
FBtr0358764,8,0,7,0,0,0,8,0,0,0,0
FBtr0354439,543,429,343,694,597,946,529,397,506,622,607
FBtr0358766,1,39,0,268,82,97,7,0,0,227,36
FBtr0358767,74,8,16,43,24,15,18,0,10,36,29
FBtr0352108,12,4,8,13,26,4,48,21,13,19,13
FBtr0352109,0,0,0,0,0,0,0,0,0,0,0
FBtr0352106,2100,2140,1850,1818,1763,1397,2742,1964,2660,1746,1623
FBtr0352107,74398,87147,75906,70436,69886,89859,86487,71142,88998,71216,65047
FBtr0352104,3084,2993,2839,2671,2857,2624,3681,2841,3445,2741,2342
FBtr0352105,261,321,250,260,138,264,191,207,230,261,152
FBtr0352102,54,68,74,55,65,67,63,38,38,37,44
FBtr0352103,8,0,0,0,0,0,0,0,0,0,0
FBtr0352100,9,19,8,25,10,28,11,12,12,32,16
FBtr0352101,125,111,161,212,56,72,171,50,84,289,147
FBtr0358108,13,3,0,6,0,4,0,8,8,3,4
FBtr0358109,121,203,59,182,83,285,181,236,189,154,127
FBgn0186700,0,0,0,0,0,0,0,0,0,0,0
FBtr0353859,0,0,4,0,0,0,12,0,0,0,0
FBtr0353858,378,571,751,957,844,608,712,945,1047,658,636
FBtr0353853,65,0,59,0,126,0,120,23,0,0,0
FBtr0353852,0,0,0,0,0,0,0,0,0,0,0
FBtr0353851,0,0,0,0,0,0,185,0,0,0,0
FBtr0353850,11,27,19,18,4,19,32,26,37,16,2
FBtr0353857,10823,12232,10211,9633,10667,11789,13346,11870,12640,10695,8586
FBtr0353856,83,44,43,63,79,66,146,52,131,61,91
FBtr0353855,233,126,0,54,73,66,145,0,112,77,0
FBtr0353854,0,0,0,5,0,0,0,0,0,0,0
FBtr0357169,69,7,10,5,12,9,5,13,0,7,12
FBtr0357168,2718,2766,2363,2897,2703,2791,3033,2581,3504,2585,2358
FBtr0357163,991,946,1279,1156,508,614,456,848,1333,351,431
FBtr0357162,14,10,12,13,14,16,12,6,12,20,9
FBtr0357161,0,0,0,0,0,0,0,0,0,0,0
FBtr0357160,1173,1734,1647,692,808,2468,1125,1243,1234,908,2893
FBtr0357167,231,430,457,534,841,724,546,816,626,708,552
FBtr0357166,0,0,0,0,0,0,0,0,0,0,0
FBtr0217500,57,31,7,18,17,10,29,38,34,9,7
FBtr0357164,0,4,6,0,7,13,3,6,4,3,6
FBtr0218858,4393,4518,3940,3724,3875,3455,5549,4552,5744,3492,3576
FBtr0218855,348,323,235,527,1770,423,377,292,424,557,852
FBtr0218856,13,25,16,60,63,63,10,18,34,18,40
FBtr0218851,846,821,771,1652,1583,1724,729,291,747,3951,4406
FBtr0218852,6995,7186,11928,13107,7528,11673,8102,13332,8735,12943,12828
FBtr0355459,7260,7700,7081,6240,6649,6520,8276,6267,7963,5936,5497
FBtr0355458,6746,6754,6068,6648,6985,4103,7573,5790,6565,6428,5912
FBtr0355455,4067,3836,3579,3045,4111,5048,3998,2898,4107,2651,3032
FBtr0355454,0,0,0,0,0,0,0,0,0,0,0
FBtr0355457,1874,2387,1877,3109,1953,2643,2680,713,1976,1073,1225
FBtr0355456,2499,2542,2881,2515,2879,2517,3104,2774,3514,1951,1971
FBtr0355451,0,0,0,0,0,0,0,0,0,0,0
FBtr0355450,4586,5217,4620,4965,5274,4953,6075,5122,6221,4644,4861
FBtr0355453,5,4,2,18,2,22,22,18,7,5,7
FBtr0355452,2607,2845,2463,2628,2720,2353,3939,2632,3624,2640,2584
FBtr0222325,1142,505,635,1009,1140,801,881,867,1224,467,540
FBtr0348688,0,0,0,0,0,0,0,0,0,0,0
FBtr0348689,99,86,107,93,90,87,77,80,74,0,0
FBtr0348686,155,66,0,95,31,68,136,0,26,66,80
FBtr0348687,1899,2562,1939,1605,3394,3795,2670,1997,2716,2709,2394
FBtr0348684,0,0,0,0,0,0,0,0,0,0,0
FBtr0348685,1023,976,1025,1040,740,813,1187,883,1248,966,759
FBtr0348682,0,0,1,0,3,0,0,0,0,0,0
FBtr0348683,10560,14608,11027,13396,15205,11376,17818,11421,17279,12091,13596
FBtr0348680,173,208,125,126,189,271,124,279,173,404,138
FBtr0348681,0,0,0,0,0,0,0,0,0,0,0
FBtr0349227,5,9,12,30,11,6,3,6,10,2,18
FBtr0349226,81,128,110,149,123,275,102,110,148,149,138
FBtr0349225,907,3136,1303,1351,1969,1612,1746,1305,1183,875,1671
FBtr0349224,0,0,0,0,0,0,0,0,0,0,0
FBtr0349223,58,27,26,104,31,41,120,45,62,20,14
FBtr0349222,0,0,0,0,0,0,0,0,0,0,0
FBtr0349221,4301,4622,4104,3724,4133,3919,4968,4492,4991,3725,3676
FBtr0349220,7426,7806,6824,4143,4941,4169,6907,5969,7221,4382,3444
FBtr0349229,0,155,0,166,184,0,175,0,0,239,150
FBtr0349228,48,47,88,0,171,96,42,76,42,62,108
FBtr0364464,0,0,0,0,7,0,0,0,9,2,0
FBtr0364465,4272,3627,2970,3914,3277,6062,4121,3446,3277,4702,3450
FBtr0364466,29,15,0,35,26,0,15,16,28,0,1
FBtr0364467,388,1774,1545,893,1076,1760,2422,1176,2221,1528,1641
FBtr0364460,0,0,1,0,0,0,3,1,3,0,0
FBtr0364461,155,1,1,31,40,25,9,93,23,1,29
FBtr0364462,538,616,580,605,1215,587,931,663,704,974,702
FBtr0364463,2322,2804,2162,2354,2710,2898,3193,2614,3240,2614,2607
FBtr0214489,4402,4444,3951,3779,3761,3540,5539,4217,5857,3898,3672
FBtr0364468,83,80,81,59,47,83,104,79,59,29,46
FBtr0364469,174,165,137,206,204,129,359,315,350,240,242
FBtr0214487,1499,1461,1406,1577,1477,1119,1836,1630,2112,1364,1531
FBtr0351007,697,688,465,237,828,950,244,410,675,443,644
FBtr0214485,6625,7224,5985,5692,6211,5741,8879,7533,10338,5595,6014
FBtr0363858,52,37,36,6,0,0,20,25,33,32,0
FBtr0363859,51,45,53,24,54,11,95,40,135,19,8
FBtr0363854,71,63,47,88,25,44,55,72,65,34,41
FBtr0363855,0,0,0,0,0,0,0,0,0,0,0
FBtr0363856,21795,24729,21124,23569,24431,27909,28144,22779,30403,25678,24751
FBtr0363857,1397,1444,1295,1448,1770,1530,3294,2654,3523,2126,2139
FBtr0363850,46,36,48,47,0,58,171,71,0,82,56
FBtr0363851,2370,2040,2459,3152,1053,1895,2904,2168,3017,1923,1622
FBtr0363852,106,82,395,602,316,225,249,228,232,264,71
FBtr0363853,109,124,141,129,116,152,81,5,135,142,109
FBtr0365339,419,665,462,435,477,339,738,694,688,466,265
FBtr0365338,546,603,525,616,779,525,778,514,731,583,479
FBtr0365333,7594,7815,6905,8081,8744,8216,8466,7918,8970,7555,7116
FBtr0365332,52,33,23,0,41,0,27,31,19,33,51
FBtr0365331,7771,139,8,5834,7202,228,9473,6560,10070,172,29
FBtr0365330,3087,3509,2695,3569,3046,2507,3776,2950,4350,2632,2705
FBtr0365337,1015,749,766,685,856,878,742,770,929,676,813
FBtr0365336,356,261,59,134,283,174,519,223,128,175,119
FBtr0365335,0,0,0,0,10,0,0,10,6,0,0
FBtr0365334,0,0,0,0,0,0,0,0,0,0,0
FBtr0351109,131,263,512,26,34,57,530,148,2597,20,120
FBtr0351108,858,803,726,730,510,726,883,755,1054,598,380
FBtr0351107,2369,2789,2415,2101,1900,2284,3355,1852,2668,2157,2369
FBtr0351106,616,486,313,357,889,322,363,306,633,791,682
FBtr0351105,134,228,195,87,133,88,212,222,255,120,117
FBtr0351104,502,508,330,514,506,629,647,539,601,594,494
FBtr0351103,0,0,0,0,291,0,0,552,0,0,0
FBtr0351102,164,182,0,90,242,264,726,368,317,353,152
FBtr0351101,3076,2646,2530,2173,3117,2896,3732,2710,3843,2823,2604
FBtr0351100,5548,6934,6058,6648,16632,17451,9141,7835,14107,7106,5813
FBtr0362028,4,21,10,6,11,0,11,8,0,0,0
FBtr0362029,11,23,12,15,7,21,16,9,23,7649,11
FBtr0362022,27862,29064,27047,27108,28315,30716,32614,27489,31295,22465,22638
FBtr0362023,1118,1270,1238,995,850,1029,1465,1332,1604,877,995
FBtr0362020,240,275,167,136,106,203,189,172,217,135,141
FBtr0362021,27,25,32,2,14,11,28,22,23,21,0
FBtr0362026,1361,1310,1338,1330,1350,963,2133,1550,2257,1106,1154
FBtr0362027,0,0,0,0,0,0,0,0,0,0,0
FBtr0362024,23361,26727,19541,15981,15241,16115,28234,20258,23769,15510,15151
FBtr0362025,69,73,54,61,60,87,107,94,93,57,71
FBtr0357302,2958,3715,2654,3414,3510,2539,3068,2074,3258,3402,2515
FBtr0357301,63,106,148,138,83,73,166,105,154,71,43
FBtr0357808,0,0,0,0,0,0,0,0,0,0,0
FBtr0217365,2179,2185,2083,2249,2121,1918,2358,1941,2638,1810,1559
FBtr0364054,14195,17237,6043,7465,17934,7746,6614,15450,5919,6523,5826
FBtr0213861,0,0,0,0,0,0,0,0,0,0,0
FBtr0364057,1,1,27,0,0,2,0,0,0,0,2
FBtr0357306,1,0,7,4,0,0,0,4,0,0,0
FBtr0364056,153,47,0,69,89,463,0,70,83,62,50
FBtr0217360,3247,3924,2208,3580,3106,2914,5494,3616,5929,3254,2013
FBtr0357304,1,2,1667,1,1,781,2,17,22,2,2
FBtr0357900,29248,31010,27994,22167,22618,21149,30095,23592,30062,18212,17380
FBtr0357800,152,187,145,196,224,105,201,128,194,198,140
FBtr0357801,3330,3236,3306,2751,3296,2194,4307,3602,4296,2975,2810
FBtr0349320,0,0,0,0,0,0,0,0,0,0,0
FBtr0349321,0,290,323,138,2,213,89,220,70,55,0
FBtr0364059,10296,11043,9138,11609,12077,13668,12896,12428,13164,13219,10625
FBtr0349327,0,0,0,0,0,0,0,0,0,0,0
FBtr0360778,47846,46542,41507,39090,41147,35193,61766,51038,59067,37647,38140
FBtr0360779,552,528,442,428,508,464,484,477,473,350,343
FBtr0360774,33,30,55,31,55,26,101,60,45,12,33
FBtr0360775,0,0,0,27,9,26,0,0,0,8,13
FBtr0360776,0,0,0,0,0,0,0,0,2,0,0
FBtr0360777,911,530,746,515,344,620,789,388,849,641,388
FBtr0360770,942,1570,947,485,546,680,1249,816,1062,511,1038
FBtr0360771,856,907,752,903,1214,787,1444,1014,1253,956,926
FBtr0360772,5,3,0,4,12,13,4,6,5,4,10
FBtr0360773,2293,2375,1967,2157,2012,1942,3083,2335,3222,1922,1942
FBtr0361823,9,16,0,27,8,20,14,13,14,12,4
FBtr0361822,0,8,5,26,18,23,0,42,0,32,0
FBtr0361821,14570,17491,16590,16234,18266,23066,20242,14035,17102,15784,10585
FBtr0361820,41,50,54,21,31,12,39,13,35,36,12
FBtr0364859,0,0,0,0,0,0,0,0,0,0,0
FBtr0364858,0,0,0,1,0,0,0,0,0,0,0
